image_name,tags
train/84046.jpg,Zen
train/70507.jpg,Zen
train/86683.jpg,Zen
train/1153.jpg,Zen
train/67194.jpg,Zen
train/25100.jpg,Zen
train/7504.jpg,Zen
train/47987.jpg,Zen
train/89736.jpg,Zen
train/10597.jpg,Zen
train/76559.jpg,Zen
train/21693.jpg,Zen
train/23212.jpg,Zen
train/25765.jpg,Zen
train/13319.jpg,Zen
train/84673.jpg,Zen
train/103177.jpg,Zen
train/26719.jpg,Zen
train/18507.jpg,Zen
test/22341.jpg,Zen
train/15718.jpg,Zen
train/30548.jpg,Zen
train/52798.jpg,Zen
train/5890.jpg,Zen
train/93904.jpg,Zen
train/83020.jpg,Zen
train/92486.jpg,Zen
train/14335.jpg,Zen
train/56326.jpg,Zen
test/61503.jpg,Zen
train/90823.jpg,Zen
train/61968.jpg,Zen
train/96148.jpg,Zen
test/77628.jpg,Zen
train/74792.jpg,Zen
train/102057.jpg,Zen
train/63741.jpg,Zen
train/36888.jpg,Zen
train/92635.jpg,Zen
train/53636.jpg,Zen
train/28714.jpg,Zen
train/39691.jpg,Zen
train/37045.jpg,Zen
train/94036.jpg,Zen
train/24673.jpg,Zen
train/8595.jpg,Zen
train/102660.jpg,Zen
test/40596.jpg,Zen
train/33638.jpg,Zen
train/24833.jpg,Zen
train/93658.jpg,Zen
test/61675.jpg,Zen
train/94730.jpg,Zen
train/75349.jpg,Zen
train/97092.jpg,Zen
train/19738.jpg,Zen
test/36039.jpg,Zen
train/62042.jpg,Zen
train/20579.jpg,Zen
test/16503.jpg,Zen
train/63652.jpg,Zen
train/85661.jpg,Zen
train/33612.jpg,Zen
train/60130.jpg,Zen
train/86849.jpg,Zen
test/81001.jpg,Zen
train/6573.jpg,Zen
test/20353.jpg,Zen
train/36282.jpg,Zen
train/15921.jpg,Zen
train/68759.jpg,Zen
train/43356.jpg,Zen
train/51775.jpg,Zen
train/91607.jpg,Zen
train/100992.jpg,Zen
train/83738.jpg,Zen
train/67081.jpg,Zen
train/85030.jpg,Zen
train/30205.jpg,Zen
train/57742.jpg,Zen
train/88928.jpg,Zen
train/88295.jpg,Zen
train/3761.jpg,Zen
train/32861.jpg,Zen
train/68379.jpg,Zen
train/63878.jpg,Zen
train/52888.jpg,Zen
test/40479.jpg,Zen
test/85654.jpg,Zen
train/58463.jpg,Zen
train/78144.jpg,Zen
train/77530.jpg,Zen
train/20975.jpg,Zen
train/16016.jpg,Zen
train/29855.jpg,Yamato-e
train/5740.jpg,Yamato-e
train/69045.jpg,Yamato-e
train/80222.jpg,Yamato-e
train/67288.jpg,Yamato-e
train/21942.jpg,Yamato-e
train/3306.jpg,Yamato-e
train/47822.jpg,Yamato-e
train/39856.jpg,Yamato-e
train/42967.jpg,Yamato-e
train/9016.jpg,Yamato-e
train/40844.jpg,Yamato-e
train/58801.jpg,Verism
train/42572.jpg,Verism
train/5659.jpg,Verism
train/7926.jpg,Verism
train/76800.jpg,Verism
test/18938.jpg,Verism
train/82732.jpg,Verism
train/37139.jpg,Verism
test/85816.jpg,Verism
